videoid,name,sub_category,main_category
3d_printing_19,"Time-lapse of a 3D printing process creating a character model, starting from initial setup, progressing through the formation of base and vertical structures, increasing height with added layers and color contrasts, and developing intricate design elements. The final stages show clear character features, detailed facial outlines, and textures, with the model nearing completion.",3d_printing,human_creation
3d_printing_08,"Time-lapse of a 3D printing process creating a model of the Statue of Liberty: starting with an empty build plate, progressing through base formation and vertical structure building, gradually adding details, and finally revealing a complete, defined model of the statue.",3d_printing,human_creation
animal_20,"Time-lapse of goats grazing in a shrubland: starting with undisturbed vegetation, goats entering and spreading out to graze, increasing in number, leading to noticeable thinning of vegetation, and ending with heavily grazed landscape.",animal,biological
animal_04,"Time-lapse of sheep grazing in a green field, starting clustered on one side and gradually dispersing. As they continue to graze, the sheep spread out more evenly across the field, ending with an almost uniform distribution. The surrounding fencing, buildings, and trees remain unchanged throughout the video.",animal,biological
aurora_09,"Time-lapse of an aurora borealis over a nighttime residential area, starting as a faint green glow. The aurora intensifies, displaying vibrant green and reddish hues with dynamic swirling patterns. Eventually, the aurora slightly diminishes but maintains its presence with subtle hues.",aurora,meteorological
aurora_03,"Time-lapse of aurora borealis over a night sky: starting with green arcs, intensifying with pronounced streaks, and evolving into swirling patterns. The aurora peaks in vivid hues before gradually fading into a homogeneous glow on a steadily brightened horizon, under a crescent moon.",aurora,meteorological
baking_13,"Time-lapse of a marbled cake baking process: starting with freshly poured batter in pans, signs of rising by initial heat exposure, uniform rising and solidifying midway, significant structured marbling and defined surface formation, and finally a fully baked, solid cake ready to be removed from the oven.",baking,physical
baking_06,"Time-lapse of an egg dish with cheese being baked in a ramekin. It begins with raw ingredients, and over time, the egg white becomes opaque and solidifies, while the yolk gradually firms up. By the end, the egg white is fully cooked, and the yolk shows a partially solidified center.",baking,physical
beach_08,"Time-lapse of a moonlit beach scene over the course of a night. The sequence depicts the moon's movement and varying cloud cover, illuminating and dimming the beach. Human activity is minimal but gradually increases and then decreases, and tire tracks in the sand change slightly, indicating some activity. The beach eventually appears darker with fewer visible details as the sky becomes heavily clouded.",beach,meteorological
beach_05,"Time-lapse of a boat drifting away from the shore: starting stationary near a red flag and pole, moving slightly by mid-sequence, and gradually retreating into deeper water by the end.",beach,meteorological
blooming_04,"Time-lapse of a white hibiscus blooming: starting as a tightly closed bud with an adjacent wilting flower, gradually opening its petals, and showing stamen and vibrant colors as it reaches full bloom, with the second flower continuing to wilt. The main flower exhibits beginning signs of petal wilting by the end of the video.",blooming,biological
blooming_02,"Time-lapse of a passionflower blooming: Starting from a tightly closed bud, it gradually swells and begins to open. The outer petals peel back as the inner petals and central structures unfold. The flower fully opens, displaying intricate stamen and vibrant purple filaments, reaching peak bloom by the video’s end.",blooming,biological
building_construction_09,"Time-lapse of a high-rise building and a public art installation being constructed. Initially, the building framework and steel structure emerge, followed by floors and additional details taking shape. Progressing further, the art installation becomes intricate and complex. The video concludes with the high-rise reaching advanced stages and the steel structure completed, with most construction equipment removed.",building,human_creation
building_construction_06,"Time-lapse of a high-rise building's construction, beginning with early crane activity and steel framing, progressing through various stages with increasing structural complexity, showing vertical and horizontal beam assembly, scaffolding, worker activity, and nearing completion of the steel framework.",building,human_creation
burning_08,"Time-lapse of a controlled fire in a trench managed by two individuals: starting with no fire visible, progressing through ignition, peak flames, and gradual reduction, until the fire is largely under control with minimal flames and more embers visible at the end.",burning,physical
burning_10,"Time-lapse of a forest fire progression and burnout: starting with slight smoke, increasing fire intensity with flames and dense smoke, spreading actively, then subsiding flames and ongoing smoke, and finally the aftermath with ash-covered forest floor and no visible flames or smoke.",burning,physical
butterfly_22,"Time-lapse of a monarch butterfly emerging from its chrysalis: starting with the chrysalis, progressing to partial emergence, full eclosion with wings unfolding, inflating its wings, and finally leaving the chrysalis behind, ready for flight.",butterfly,biological
butterfly_27,"Time-lapse of a blue morpho butterfly emerging from its chrysalis, starting with an intact chrysalis, progressively splitting open, revealing the butterfly, which gradually emerges with its wings and body becoming visible, until almost entirely free from the chrysalis by the end.",butterfly,biological
candle_burning_10,"Time-lapse of a succulent-shaped candle burning over 42 minutes: starting intact with a stable flame, showing minor melting by the midpoint, progressively deforming and pooling wax at the base, and mostly melted by the end with only small remnants of the original shape visible.",candle_burning,physical
candle_burning_13,"Time-lapse of a red candle burning down to a near-complete melt: starting intact with a steady flame, progressively shortening, forming and enlarging a pool of molten wax, until the candle is almost entirely melted with a broad wax pool surrounding the holder.",candle_burning,physical
city_12,"Time-lapse of a nighttime city intersection showing varying traffic flow and pedestrian activity. The video captures light trails from moving vehicles, changes in traffic light signals, decorative building lights, and pedestrians crossing. The building and lights become more prominent as traffic fluctuates, illustrating a dynamic urban scene at night.",city,human_creation
city_20,"Time-lapse of a busy city intersection at night, showing fluctuating traffic and pedestrian flow. Traffic pauses and resumes, captured by the light trails of moving vehicles. Intermittent pauses and peak activity periods are noticeable, highlighted by varying intensity of light trails and pedestrian movement.",city,human_creation
cloud_13,"Time-lapse of a sunset showing the sun descending below the horizon. The sky transitions from bright sunlight to twilight, exhibiting a range of colors from vibrant reds and oranges to softer, warm tones, ultimately fading as twilight emerges.",cloud,meteorological
