videoid,name,sub_category,main_category
3d_printing_12,"Time-lapse of a 3D printing process showing an orange lattice-structured object being built from the base to the top, layer by layer, until the final structure is completed.",3d_printing,human_creation
3d_printing_11,"Time-lapse of a 3D printing process building an orange lattice-structured sphere. It starts with an empty printer bed, progresses through the initial layers forming a base, becomes more complex and taller, and finally reveals a nearly complete spherical lattice design.",3d_printing,human_creation
3d_printing_13,"Time-lapse of a 3D printing process creating a bowl-like object, starting from a flat layer and gradually building up height and texture. The bowl takes on a detailed, intricate form and is nearly complete when the video shifts to the start of a new 3D printing job with the base layer.",3d_printing,human_creation
3d_printing_08,"Time-lapse of a 3D printing process creating a model of the Statue of Liberty: starting with an empty build plate, progressing through base formation and vertical structure building, gradually adding details, and finally revealing a complete, defined model of the statue.",3d_printing,human_creation
3d_printing_14,"Time-lapse of a 3D printed perforated skull: starting from base layers, developing a complex net-like structure, becoming a discernable skull shape, and nearing completion. Finishing touches include manual inspection and an outdoor display, showcasing UV-reactive properties. The sequence ends with the print bed, confirming the process's completion.",3d_printing,human_creation
3d_printing_10,"Time-lapse of a vase-like object being 3D printed from start to finish. The sequence begins with an empty printing bed, progresses through the formation of a circular base and flower-like structure, and continues as the object grows into a tall vase with intricate patterns, finally reaching its fully formed state.",3d_printing,human_creation
3d_printing_09,"Time-lapse of various objects being created through 3D printing. Starts with the setup of the 3D printer, followed by different stages of printing a handle, a purple octopus, purple bust sculptures, a base-like object, and a grid-patterned structure. Ends with the final flat-grid structure resting on the printer bed.",3d_printing,human_creation
3d_printing_17,"Time-lapse of 3D printing various objects: starting with initial layers, progressing to a slug-like shape, followed by a circular and spiral snail shell structure, then forming a cylindrical base, miniature castle, and finally, detailed slug and castle-like structures.",3d_printing,human_creation
3d_printing_16,"Time-lapse of a 3D printing process beginning with the nozzle above the empty print bed, gradually depositing material to form the base and then the vertical walls of an object. The structure gains height and definition over time, culminating in a nearly complete 3D printed object.",3d_printing,human_creation
3d_printing_03,"Time-lapse of the 3D printing and assembly of a single piston engine. Initial components on the print bed progress through various stages of printing and assembly. Smaller parts like bolts are added, leading to visible hand assembly. The final stage shows an empty print bed, indicating completion of both the printing and assembly processes.",3d_printing,human_creation
3d_printing_19,"Time-lapse of a 3D printing process creating a character model, starting from initial setup, progressing through the formation of base and vertical structures, increasing height with added layers and color contrasts, and developing intricate design elements. The final stages show clear character features, detailed facial outlines, and textures, with the model nearing completion.",3d_printing,human_creation
3d_printing_20,"Time-lapse of a 3D printing process from start to finish: initial layers are laid down, structural elements and internal grids develop, external features smooth out, and the object nears completion with final layers and touches being applied. The video ends with the printer nearly finishing the job.",3d_printing,human_creation
3d_printing_18,"Time-lapse of 3D printing an intricate architectural model inside a moon-shaped object: starting from an empty print bed, gradually building height and detail, including domes and towers. A hand inspects and turns the model, revealing the cratered exterior. The completed structure is laid flat and shown in close-up with all its intricate elements under changing light conditions.",3d_printing,human_creation
3d_printing_22,"Time-lapse of a 3D printing process creating a vibrantly colored object. The video shows the gradual build-up of the object’s layers, starting from the base, forming defined edges and rising outer walls, and ending with a fully formed structure featuring intricate details.",3d_printing,human_creation
3d_printing_01,"Time-lapse of a 3D printing process creating an owl model: starting from an empty printer bed, gradually building the owl and other components, detailing and shape emerging more with each stage, and concluding with a hand removing the completed owl from the bed.",3d_printing,human_creation
3d_printing_24,"Time-lapse of a 3D printing process creating a complex geometric object. It starts with the initial platform, showing faint outlines. The object gradually takes shape and gains height with each layer, resembling a flower or coral formation. By the end, the structure is almost fully printed with intricate and prominent patterns.",3d_printing,human_creation
3d_printing_05,"Time-lapse of a 3D printing process creating a unicorn model: starting from the initial structures on the printing bed, developing through stages with increasing detail in the body, legs, head, and facial features, and concluding with the removal of the completed unicorn model from the printing bed, leaving it empty.",3d_printing,human_creation
3d_printing_23,"Time-lapse of a 3D printing process creating an intricate orange object. The sequence starts with an empty platform, progresses through initial layers, vertical walls, complex internal features, and detailed protrusions, and ends with a fully formed object.",3d_printing,human_creation
animal_02,"Time-lapse of cattle grazing in an open field under clear daylight, showing gradual dispersion over time. Starting grouped together, the cattle reposition, spread further across the field, and eventually many are near the tree line by the video's end.",animal,biological
animal_03,"Time-lapse of cattle in a snowy field over nearly a month: starting with fresh snow and cold conditions, cattle feeding around hay bales as snow melts, progressing to warmer days with minimal snow, and ending with cattle resting and grazing in an almost snow-free field.",animal,biological
